Delivery;Shipment;Plate;DriverName
5999011158;7530227;X888XX777;Robotov Android
5999011159;7530227;X888XX777;Robotov Android
5999011160;7530227;X888XX777;Robotov Android
5999011161;7530227;X888XX777;Robotov Android
5999011162;7530227;X888XX777;Robotov Android
5999011163;7530227;X888XX777;Robotov Android
5999011164;7530227;X888XX777;Robotov Android
5999011165;7530227;X888XX777;Robotov Android
5999011166;7530227;X888XX777;Robotov Android
5999011167;7530227;X888XX777;Robotov Android
5999011168;7530227;X888XX777;Robotov Android
5999011169;7530227;X888XX777;Robotov Android
5999011170;7530227;X888XX777;Robotov Android
5999011171;7530227;X888XX777;Robotov Android
5999011172;7530227;X888XX777;Robotov Android
5999011173;7530227;X888XX777;Robotov Android
5999011174;7530227;X888XX777;Robotov Android
